Year,District,Crime_Type,Count
2022,구로구,강도,8
2022,구로구,살인,11
2022,구로구,성폭력,217
2022,구로구,절도,1565
2022,구로구,폭력,2056
2022,금천구,강도,3
2022,금천구,살인,2
2022,금천구,성폭력,127
2022,금천구,절도,1118
2022,금천구,폭력,1327
2022,노원구,강도,3
2022,노원구,살인,3
2022,노원구,성폭력,180
2022,노원구,절도,1504
2022,노원구,폭력,2206
2022,도봉구,강도,0
2022,도봉구,살인,3
2022,도봉구,성폭력,70
2022,도봉구,절도,969
2022,도봉구,폭력,1099
2022,동대문구,강도,2
2022,동대문구,살인,4
2022,동대문구,성폭력,125
2022,동대문구,절도,1556
2022,동대문구,폭력,1566
2022,동작구,강도,5
2022,동작구,살인,2
2022,동작구,성폭력,212
2022,동작구,절도,1195
2022,동작구,폭력,1321
