자치구,범죄유형,장소카테고리,시간대,자치구_encoded,범죄유형_encoded,장소카테고리_encoded,시간대_encoded,p_district,p_place,p_time,시간_중앙값,is_night,is_rush_hour,crime_severity,risk_score,is_high_risk
영등포구,강도,주거지구,21시-24시,19,0,3,7,0.0561175593653498,0.2532467532467532,0.15476190476190477,22.5,1,0,4,49.91858365213436,1
영등포구,강도,업무지구,00시-03시,19,0,2,0,0.0561175593653498,0.15692640692640691,0.13744588744588745,1.5,1,0,4,35.286850984830714,0
영등포구,강도,업무지구,03시-06시,19,0,2,1,0.0561175593653498,0.15692640692640691,0.10606060606060606,4.5,1,0,4,31.245705771956366,0
영등포구,강도,업무지구,06시-09시,19,0,2,2,0.0561175593653498,0.15692640692640691,0.07034632034632035,7.5,0,1,4,26.64716121937522,0
영등포구,강도,업무지구,09시-12시,19,0,2,3,0.0561175593653498,0.15692640692640691,0.09632034632034632,10.5,0,0,4,29.991557257616044,0
영등포구,강도,업무지구,12시-15시,19,0,2,4,0.0561175593653498,0.15692640692640691,0.12121212121212122,13.5,0,0,4,33.196603460930184,0
영등포구,강도,업무지구,15시-18시,19,0,2,5,0.0561175593653498,0.15692640692640691,0.14502164502164502,16.5,0,0,4,36.26229982931762,0
영등포구,강도,업무지구,18시-21시,19,0,2,6,0.0561175593653498,0.15692640692640691,0.16883116883116883,19.5,0,1,4,39.327996197705055,0
영등포구,강도,업무지구,21시-24시,19,0,2,7,0.0561175593653498,0.15692640692640691,0.15476190476190477,22.5,1,0,4,37.516448343657935,0
영등포구,강도,다중이용시설,00시-03시,19,0,1,0,0.0561175593653498,0.41883116883116883,0.13744588744588745,1.5,1,0,4,69.00951103709248,1
영등포구,강도,다중이용시설,03시-06시,19,0,1,1,0.0561175593653498,0.41883116883116883,0.10606060606060606,4.5,1,0,4,64.96836582421814,1
영등포구,강도,다중이용시설,06시-09시,19,0,1,2,0.0561175593653498,0.41883116883116883,0.07034632034632035,7.5,0,1,4,60.36982127163697,1
영등포구,강도,다중이용시설,09시-12시,19,0,1,3,0.0561175593653498,0.41883116883116883,0.09632034632034632,10.5,0,0,4,63.71421730987782,1
영등포구,강도,다중이용시설,12시-15시,19,0,1,4,0.0561175593653498,0.41883116883116883,0.12121212121212122,13.5,0,0,4,66.91926351319196,1
영등포구,강도,다중이용시설,15시-18시,19,0,1,5,0.0561175593653498,0.41883116883116883,0.14502164502164502,16.5,0,0,4,69.9849598815794,1
영등포구,강도,다중이용시설,18시-21시,19,0,1,6,0.0561175593653498,0.41883116883116883,0.16883116883116883,19.5,0,1,4,73.05065624996682,1
영등포구,강도,다중이용시설,21시-24시,19,0,1,7,0.0561175593653498,0.41883116883116883,0.15476190476190477,22.5,1,0,4,71.2391083959197,1
영등포구,강도,기타,00시-03시,19,0,0,0,0.0561175593653498,0.170995670995671,0.13744588744588745,1.5,1,0,4,37.09839883887784,0
영등포구,강도,기타,03시-06시,19,0,0,1,0.0561175593653498,0.170995670995671,0.10606060606060606,4.5,1,0,4,33.057253626003494,0
영등포구,강도,기타,06시-09시,19,0,0,2,0.0561175593653498,0.170995670995671,0.07034632034632035,7.5,0,1,4,28.45870907342234,0
영등포구,강도,기타,09시-12시,19,0,0,3,0.0561175593653498,0.170995670995671,0.09632034632034632,10.5,0,0,4,31.80310511166317,0
영등포구,강도,기타,12시-15시,19,0,0,4,0.0561175593653498,0.170995670995671,0.12121212121212122,13.5,0,0,4,35.00815131497731,0
영등포구,강도,기타,15시-18시,19,0,0,5,0.0561175593653498,0.170995670995671,0.14502164502164502,16.5,0,0,4,38.07384768336475,0
영등포구,강도,기타,18시-21시,19,0,0,6,0.0561175593653498,0.170995670995671,0.16883116883116883,19.5,0,1,4,41.13954405175218,0
영등포구,강도,기타,21시-24시,19,0,0,7,0.0561175593653498,0.170995670995671,0.15476190476190477,22.5,1,0,4,39.32799619770506,0
영등포구,성폭력,주거지구,00시-03시,19,2,3,0,0.053805400790306164,0.3870828004455629,0.1357173124911719,1.5,1,0,4,55.12092170227951,1
영등포구,성폭력,주거지구,03시-06시,19,2,3,1,0.053805400790306164,0.3870828004455629,0.08135976270069212,4.5,1,0,4,48.99676414750312,1
영등포구,성폭력,주거지구,06시-09시,19,2,3,2,0.053805400790306164,0.3870828004455629,0.055205047318611984,7.5,0,1,4,46.05006036086103,1
영등포구,성폭력,주거지구,09시-12시,19,2,3,3,0.053805400790306164,0.3870828004455629,0.10751447808277226,10.5,0,0,4,51.94346793414521,1
영등포구,성폭력,주거지구,12시-15시,19,2,3,4,0.053805400790306164,0.3870828004455629,0.1336691934648524,13.5,0,0,4,54.890171720787286,1
